[1.42108547e-14 0.00000000e+00 5.50000000e+01], [40.23655104637146]
[-9.87562303 -4.92857978 59.50781423], [72.43424344062805]
[-9.8745848  -4.92873633 59.50373901], [72.51748847961426]
[-9.87366437 -4.92929032 59.50029357], [72.60036492347717]
[-9.87265051 -4.92986899 59.49647269], [72.68325638771057]
[-9.87162506 -4.93039832 59.49255513], [72.76734614372253]
[-9.87067315 -4.93086528 59.48887554], [72.8520610332489]
[-9.86984093 -4.93127027 59.48562394], [72.93607544898987]
[-9.8691428  -4.93161686 59.48286605], [73.02039194107056]
[-9.86857415 -4.93190981 59.48059172], [73.10324788093567]
[-9.868121   -4.93215458 59.47875276], [73.1870367527008]
[-9.86776597 -4.93235704 59.47728676], [73.27129650115967]
[-9.86749164 -4.93252311 59.47613022], [73.35398983955383]
[-9.86728218 -4.93265843 59.47522504], [73.4377589225769]
[-9.86712396 -4.93276819 59.47452099], [73.52160000801086]
[-9.86700564 -4.93285697 59.47397615], [73.60608196258545]
[-9.86691806 -4.93292869 59.4735563 ], [73.68948650360107]
[-9.86685389 -4.93298666 59.47323395], [73.77445411682129]
[-9.8668074  -4.93303359 59.47298726], [73.8587338924408]
[-9.86677411 -4.93307171 59.47279902], [73.94172024726868]
[-9.86675059 -4.93310278 59.47265575], [74.02439641952515]
[-9.86673425 -4.93312823 59.47254697], [74.10923647880554]
[-9.86672311 -4.93314917 59.47246455], [74.19363284111023]
[-9.86671571 -4.93316649 59.47240221], [74.27772688865662]
[-9.8330733  -9.88271107 59.32659229], [74.36065888404846]
[-9.8672926  -9.85766271 59.469586  ], [74.4437882900238]
[-9.87003221 -9.85821511 59.48239971], [74.52707433700562]
[-9.87066582 -9.85964124 59.48530188], [74.61177444458008]
[-9.87013987 -9.86037575 59.48373038], [74.69477677345276]
[-9.86898777 -9.86062845 59.47969341], [74.77858066558838]
[-9.86759905 -9.86062011 59.47466864], [74.86195874214172]
[-9.86621128 -9.86049909 59.46956433], [74.94500613212585]
[-9.86494862 -9.86034707 59.46485794], [75.02862882614136]
