[-8.41  3.73 61.64], [73.6132185459137]
[-8.79  3.37 61.63], [73.6965434551239]
[-8.64  3.75 61.55], [73.78116607666016]
[-6.6   4.46 61.8 ], [73.86445665359497]
[12.08  5.43 60.85], [73.94888544082642]
[-0.25  2.73 63.29], [74.0332133769989]
[ 8.02  3.41 60.83], [74.11672139167786]
[ 3.06  2.6  63.14], [74.20176434516907]
[ 5.54  2.99 61.99], [74.28560471534729]
[ 3.02  2.95 62.02], [74.36985492706299]
[ 4.02  3.   62.56], [74.45410442352295]
[ 2.16  2.88 62.56], [74.5380597114563]
[ 2.93  3.17 62.31], [74.62152624130249]
[ 2.46  2.8  62.7 ], [74.70591402053833]
[ 2.24  3.19 62.37], [74.79015851020813]
[ 1.89  3.02 62.47], [74.87376952171326]
[ 2.15  3.13 62.29], [74.95742559432983]
[ 1.28  3.11 62.55], [75.04191613197327]
[ 1.6   3.19 62.42], [75.1265172958374]
[ 1.34  3.27 62.55], [75.2101640701294]
[ 1.64  3.2  62.39], [75.29323053359985]
[ 1.21  3.22 62.49], [75.37654066085815]
[ 1.49  3.22 62.46], [75.46057176589966]
[ 1.36  3.23 62.43], [75.5449812412262]
[ 1.44  3.25 62.46], [75.6286678314209]
[ 1.19  3.17 62.4 ], [75.71291518211365]
[ 1.09  3.27 62.36], [75.79683113098145]
[ 0.82  3.2  62.21], [75.88043999671936]
[ 1.03  3.21 62.51], [75.964430809021]
[ 1.07 -1.99 58.07], [76.04802703857422]
[ 0.74 -0.9  57.16], [76.13066411018372]
[ 0.47 -0.6  56.19], [76.21408176422119]
[ 0.27 -0.16 56.  ], [76.29780530929565]
[ 0.17  0.   55.86], [76.38071298599243]
[ 0.17 -0.17 55.82], [76.46361804008484]
[ 1.600e-01 -4.000e-02  5.577e+01], [76.54791045188904]
[1.600e-01 2.000e-02 5.574e+01], [76.63160419464111]
[1.50e-01 3.00e-02 5.57e+01], [76.71415162086487]
[1.500e-01 3.000e-02 5.568e+01], [76.79790019989014]
[1.400e-01 4.000e-02 5.565e+01], [76.88081502914429]
[1.400e-01 5.000e-02 5.562e+01], [76.96323704719543]
[1.300e-01 5.000e-02 5.561e+01], [77.04684901237488]
[1.200e-01 4.000e-02 5.559e+01], [77.1305923461914]
[1.100e-01 4.000e-02 5.557e+01], [77.212886095047]
[1.200e-01 4.000e-02 5.556e+01], [77.2968339920044]
[1.200e-01 5.000e-02 5.555e+01], [77.38034534454346]
[1.300e-01 4.000e-02 5.554e+01], [77.4642698764801]
[1.300e-01 4.000e-02 5.552e+01], [77.54801082611084]
[1.400e-01 4.000e-02 5.552e+01], [77.63045525550842]
[1.400e-01 5.000e-02 5.551e+01], [77.71444249153137]
[1.40e-01 4.00e-02 5.55e+01], [77.79684472084045]
